,,Inflow flow meter,,Inflow Sonde,,,,,,,,Outflow Sonde,,,,,,,,OutFlow Level
DATE,TIME,In - Level,In - Flow,In - Temp,In - Cond,In - pH,In - Ammonium,In - Turbidity,In - DO%,In - DO mgl,In - Chlorophyll,Out - Temp,Out - Cond,Out - pH,Out - Ammonium,Out - Turbidity,Out - DO%,Out - DO mgl,Out - Chlorophyll,Out - Level
14/07/2015,12:42:32,,,,,,,,,,,,,,,,,,,0.26618
14/07/2015,12:43:24,,,,,,,,,,,16.95,172.55,8.66,0.02,1.16,105.38,10.19,1.28,
14/07/2015,13:00:17,,,,,,,,,,,,,,,,,,,0.28327
14/07/2015,13:01:09,,,,,,,,,,,17.01,172.35,8.67,0.02,0.83,105.64,10.2,1.58,
14/07/2015,14:00:17,,,,,,,,,,,,,,,,,,,0.28327
14/07/2015,14:01:09,,,,,,,,,,,17.17,172.09,8.68,0.02,0.83,106.84,10.28,1.32,
14/07/2015,15:00:17,,,,,,,,,,,,,,,,,,,0.28205
14/07/2015,15:01:09,,,,,,,,,,,17.35,171.08,8.7,0.02,1.05,108.44,10.4,1.31,
14/07/2015,16:00:17,,,,,,,,,,,,,,,,,,,0.28205
14/07/2015,16:01:09,,,,,,,,,,,17.57,171.26,8.7,0.02,0.84,108.91,10.4,1.22,
14/07/2015,17:00:17,,,,,,,,,,,,,,,,,,,0.28327
14/07/2015,17:01:09,,,,,,,,,,,17.59,170.89,8.71,0.02,0.79,109.17,10.42,1.14,
14/07/2015,18:00:17,,,,,,,,,,,,,,,,,,,0.28327
14/07/2015,18:01:09,,,,,,,,,,,17.73,169.74,8.75,0.02,0.84,112.35,10.69,1.12,
14/07/2015,19:00:17,,,,,,,,,,,,,,,,,,,0.28083
14/07/2015,19:01:09,,,,,,,,,,,17.37,169.52,8.75,0.02,0.87,110.59,10.6,1.27,
14/07/2015,20:00:17,,,,,,,,,,,,,,,,,,,0.28083
14/07/2015,20:01:09,,,,,,,,,,,16.93,169.84,8.72,0.02,0.79,107.31,10.38,1.33,
14/07/2015,21:00:17,,,,,,,,,,,,,,,,,,,0.28083
14/07/2015,21:01:09,,,,,,,,,,,16.53,170.03,8.67,0.02,0.87,101.23,9.88,1.42,
14/07/2015,22:00:17,,,,,,,,,,,,,,,,,,,0.27961
14/07/2015,22:01:09,,,,,,,,,,,16.25,171.63,8.63,0.02,1.05,99.21,9.74,1.57,
14/07/2015,23:00:17,,,,,,,,,,,,,,,,,,,0.27961
14/07/2015,23:01:09,,,,,,,,,,,16.04,172.27,8.61,0.02,1.11,97.12,9.57,1.67,
15/07/2015,00:00:17,,,,,,,,,,,,,,,,,,,0.27961
15/07/2015,00:01:09,,,,,,,,,,,15.85,172.14,8.61,0.02,0.94,96.99,9.6,1.6,
15/07/2015,01:00:17,,,,,,,,,,,,,,,,,,,0.27961
15/07/2015,01:01:09,,,,,,,,,,,15.58,172.45,8.6,0.02,0.83,95.34,9.49,1.85,
15/07/2015,02:00:17,,,,,,,,,,,,,,,,,,,0.27717
15/07/2015,02:01:09,,,,,,,,,,,15.4,172.42,8.59,0.02,1.06,94.17,9.41,1.95,
15/07/2015,03:00:17,,,,,,,,,,,,,,,,,,,0.27839
15/07/2015,03:01:09,,,,,,,,,,,15.42,172.67,8.56,0.02,0.97,94.12,9.4,1.63,
15/07/2015,04:00:17,,,,,,,,,,,,,,,,,,,0.27717
15/07/2015,04:01:09,,,,,,,,,,,15.16,173.32,8.55,0.02,0.94,93.11,9.35,1.76,
15/07/2015,05:00:17,,,,,,,,,,,,,,,,,,,0.27717
15/07/2015,05:01:09,,,,,,,,,,,14.96,173.73,8.55,0.02,0.88,91.57,9.24,1.44,
15/07/2015,06:00:17,,,,,,,,,,,,,,,,,,,0.27595
15/07/2015,06:01:10,,,,,,,,,,,15.01,172.82,8.59,0.02,0.94,95.58,9.63,1.54,
15/07/2015,07:00:17,,,,,,,,,,,,,,,,,,,0.27595
15/07/2015,07:01:09,,,,,,,,,,,15.3,171.98,8.64,0.02,0.89,101.22,10.14,1.25,
15/07/2015,08:00:17,,,,,,,,,,,,,,,,,,,0.27839
15/07/2015,08:01:09,,,,,,,,,,,15.85,170.75,8.7,0.02,0.97,106.17,10.51,1.54,
15/07/2015,09:00:17,,,,,,,,,,,,,,,,,,,0.27839
