,,Inflow flow meter,,Inflow Sonde,,,,,,,Inflow Side Sonde,,,,,,,Outflow Sonde,,,,,,,OutFlow Level
DATE,TIME,LEVEL,FLOW,TEMP,COND,PH,Ammonium,TURBIDITY,ODO-pcent,ODO-MGL,TEMP,COND,PH,Ammonium,TURBIDITY,ODO-pcent,ODO-MGL,TEMP,COND,PH,Ammonium,TURBIDITY,ODO-pcent,ODO-MGL,Level
01/05/2014,00:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32356
01/05/2014,00:01:09,,,7.84,336.58,7.37,,0.84,69.12,8.21,,,,,,,,,,,,,,,
01/05/2014,00:01:09,,,,,,,,,,,,,,,,,11.32,256.3,8.4,,0.52,94.09,10.29,
01/05/2014,00:01:50,,,,,,,,,,7.84,321,7.51,0.043,3.3,74.1,8.81,,,,,,,,
01/05/2014,00:03:30,1.324,0.028,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,01:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32356
01/05/2014,01:01:09,,,7.81,336.62,7.37,,0.76,69.68,8.28,,,,,,,,,,,,,,,
01/05/2014,01:01:09,,,,,,,,,,,,,,,,,11.3,256.59,8.42,,0.5,94.2,10.31,
01/05/2014,01:01:51,,,,,,,,,,7.79,317,7.49,0.041,2.5,73.2,8.71,,,,,,,,
01/05/2014,01:03:30,1.332,0.048,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,02:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32356
01/05/2014,02:01:09,,,7.79,336.65,7.37,,0.71,69.92,8.32,,,,,,,,,,,,,,,
01/05/2014,02:01:09,,,,,,,,,,,,,,,,,11.25,257.24,8.4,,0.43,92.16,10.1,
01/05/2014,02:01:50,,,,,,,,,,7.75,314,7.49,0.037,1.3,73.1,8.7,,,,,,,,
01/05/2014,02:03:29,1.335,0.002,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,03:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32356
01/05/2014,03:01:09,,,7.79,336.65,7.37,,0.71,69.92,8.32,,,,,,,,,,,,,,,
01/05/2014,03:01:09,,,,,,,,,,,,,,,,,11.3,256.72,8.41,,0.39,94.61,10.35,
01/05/2014,03:01:51,,,,,,,,,,7.7,310,7.5,0.034,1.1,73.3,8.73,,,,,,,,
01/05/2014,03:03:30,1.337,0.047,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,04:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32356
01/05/2014,04:01:09,,,7.78,336.78,7.37,,0.66,70.03,8.33,,,,,,,,,,,,,,,
01/05/2014,04:01:09,,,,,,,,,,,,,,,,,11.13,257.42,8.39,,0.43,92.72,10.19,
01/05/2014,04:01:51,,,,,,,,,,7.66,306,7.48,0.033,0.9,73.1,8.72,,,,,,,,
01/05/2014,04:03:33,1.334,0.027,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,05:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32356
01/05/2014,05:01:09,,,7.77,336.38,7.37,,0.64,70.04,8.33,,,,,,,,,,,,,,,
01/05/2014,05:01:09,,,,,,,,,,,,,,,,,11.13,257.25,8.41,,0.46,93.61,10.29,
01/05/2014,05:01:51,,,,,,,,,,7.6,305,7.47,0.032,0.9,72.8,8.7,,,,,,,,
01/05/2014,05:03:32,1.333,0.065,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,06:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32479
01/05/2014,06:01:09,,,7.75,333.96,7.38,,0.62,70.1,8.35,,,,,,,,,,,,,,,
01/05/2014,06:01:09,,,,,,,,,,,,,,,,,11.18,256.42,8.43,,0.45,96.1,10.55,
01/05/2014,06:01:51,,,,,,,,,,7.55,305,7.46,0.032,0.9,72.7,8.7,,,,,,,,
01/05/2014,06:03:30,1.334,0.044,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,07:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32234
01/05/2014,07:01:09,,,7.73,332.62,7.39,,0.6,71.13,8.47,,,,,,,,,,,,,,,
01/05/2014,07:01:09,,,,,,,,,,,,,,,,,11.22,255.93,8.44,,0.45,98.12,10.76,
01/05/2014,07:01:51,,,,,,,,,,7.49,307,7.49,0.031,0.9,73.4,8.79,,,,,,,,
01/05/2014,07:03:30,1.332,0.023,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,08:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32479
01/05/2014,08:01:09,,,7.75,331.85,7.41,,0.62,73.71,8.77,,,,,,,,,,,,,,,
01/05/2014,08:01:09,,,,,,,,,,,,,,,,,11.41,254.63,8.48,,0.49,102.31,11.17,
01/05/2014,08:01:51,,,,,,,,,,7.48,309,7.49,0.031,0.8,73.9,8.86,,,,,,,,
01/05/2014,08:03:29,1.331,0.05,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,09:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32356
01/05/2014,09:01:09,,,7.86,331.12,7.44,,0.6,79.83,9.48,,,,,,,,,,,,,,,
01/05/2014,09:01:09,,,,,,,,,,,,,,,,,11.51,253.7,8.5,,0.51,104.41,11.37,
01/05/2014,09:01:51,,,,,,,,,,7.55,311,7.49,0.031,0.8,75.7,9.06,,,,,,,,
01/05/2014,09:03:34,1.33,-0.009,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,10:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32601
01/05/2014,10:01:09,,,7.94,330.23,7.49,,0.6,85.87,10.18,,,,,,,,,,,,,,,
01/05/2014,10:01:09,,,,,,,,,,,,,,,,,11.5,253.25,8.51,,0.5,104.74,11.41,
01/05/2014,10:01:51,,,,,,,,,,7.65,288,7.5,0.031,0.7,77.5,9.25,,,,,,,,
01/05/2014,10:03:30,1.33,0.011,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,11:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32356
01/05/2014,11:01:09,,,,,,,,,,,,,,,,,11.51,253.04,8.52,,0.51,104.88,11.42,
01/05/2014,11:01:51,,,,,,,,,,7.8,288,7.53,0.03,3.4,78.9,9.38,,,,,,,,
01/05/2014,11:02:19,1.33,0.01,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,11:03:28,,,7.92,329.78,7.48,,0.86,84.64,10.03,,,,,,,,,,,,,,,
01/05/2014,12:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.32479
01/05/2014,12:01:09,,,7.92,329.55,7.49,,0.71,85.01,10.08,,,,,,,,,,,,,,,
01/05/2014,12:01:09,,,,,,,,,,,,,,,,,11.48,252.83,8.52,,0.55,104.86,11.43,
01/05/2014,12:01:50,,,,,,,,,,7.88,288,7.54,0.029,1.7,80.2,9.52,,,,,,,,
01/05/2014,12:03:29,1.329,-0.002,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,13:00:17,,,,,,,,,,,,,,,,,,,,,,,,0.33089
01/05/2014,13:01:09,,,7.91,329.38,7.49,,0.68,84.99,10.08,,,,,,,,,,,,,,,
