Survey,Aegagropila linnaei,Chara spp.,Chara aspera,Chara globularis,Chara virgata,Chara vulgaris,Chara contraria,Nitella opaca/flexilis,Tolypella glomerata,Fontinalis antipyretica,Sphagnum spp.,Hypnum scorpioides,Littorella uniflora,Callitriche stagnalis,Callitriche cf hamulata,Callitriche cf platycarpa,Elodea canadensis,Potamogeton berchtoldii,Potamogeton pectinatus,Potamogeton crispus,Potamogeton lucens,Potamogeton x nitens,Potamogeton x zizii,Potamogeton perfoliatus,Potamogeton praelongus,Potamogeton natans,Potamogeton polygonifolius?,Potamogeton alpinus,Zannichellia palustris,Utricularia vulgaris agg.,Hippuris vulgaris,Myriophyllum spicatum
2019,0.5,,1,1,1,1,1,1,,1,,,,,,,1,,,1,1,,,,,,,,,1,,
2018,,,1,1,1,,,1,,1,,,,,1,,1,,,,1,,,,,,,,,1,1,
2014,,,1,1,,1,,1,,1,,,,,1,,1,,,,1,,,,,,,,,,,
2010,1,,1,1,1,1,1,1,,1,,,,,1,,1,1,,1,1,,,,,,,,1,,,
2009,,,1,1,,,1,1,,1,,,,,1,,1,,,1,1,,,,,,,,,,,
2011,,,1,1,,,,1,,1,,,,,1,,1,,,,1,,,,,,,,,,,
2005,,1,1,1,1,,,1,1,1,,,,,1,1,1,1,,1,1,,,,,,,,,,,
2004,,,1,1,,1,,1,,1,,,,,,,1,1,1,,1,,,,,,,,,,,
1995,1,1,,,,,,,,1,,,,,1,,1,,,1,1,,,,,,,,,,,
1994,0.5,1,,,,,,,,1,1,,,,,,1,1,,,1,1,,1,,,,,,,,1
1993,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1960,1,,1,1,,,,,,1,,,,,,,1,1,,,1,1,,1,,,,,,,,1
1950,1,,1,1,,,,,,1,,,,,,,,1,,,1,1,,1,,1,1,,,,1,1
1936,,,1,1,,,,,,1,,1,1,1,,,,,,,1,,,1,,,,1,,,,1
1925,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,
