Malham - stream water sample results 18-19 October 2014,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Shading indicates high/suspect results,,,,,
Group,Site,Sample ID,Date,"Time (BST black, GMT blue)",Grid Reference (SD),Field Temperature (degrees C),Lab Temperature (degrees C),Field Conductivity (Micro-Siemens),Field Conductivity (Milli-Siemens),Lab Conductivity (Micro-Siemens),Lab Conductivity (Milli-Siemens),Field pH,Lab pH,Secchi disk Depth (M),Phosphate (mg/l PO4),Nitrate (mg/l NO3-N need to multiply up to get nitrate ),Dissolved Oxygen (mg/l),Notes,Jill retest of lab conductivity using ARES Research meter 2 (Jenway 470),Jill's lab temp ©
Andy's Group,Malham Tarn Outflow,Outflow bottom (stream below with seep from field),18/10/2014,14:10,"89370, 66148",11.2,x,x,x,203,0.203,x,8.14,x,0.06,1.2,10.84,,222,19.7
Andy's Group,Malham Tarn Outflow,Outflow Top - at crest of structure,18/10/2014,15:00,"89370, 66148",11.5,x,x,x,203,0.203,x,8.21,x,0.03,0.1,10.89,,237,19.5
No Name ,Outlet/outflow,7 (but looks like 2 on  bottles?),18/10/2014,15:57,"89422, 66180",11.7,17.8,,,215,0.215,,8.23,,0.09,1.1,9.97,,236,20.7
Andy's Group,Far Bridge,Far bridge,18/10/2014,10:35,"88448, 67157",12.1,x,x,x,330,0.330,x,7.56,x,0.06,,7.56,,365,19.3
Andy's Group,Far Bridge,Far bridge 2,19/10/2014,11:23,"88448, 67157",11.5,x,x,x,508,0.508,x,7.72,x,0.10,,9.2,,508,19.7
Banta,Far Bridge,BFB1,18/10/2014,10:35,"88445, 67157",,,,,361,0.361,,7.75,,0.07,,,,361,21.1
Grylls,Far bridge,,18/10/2014,10:35,"88450, 67159",,,,,353,0.353,,7.23,,0.08,0.3,,multiple tests carried out to find the average,353,19.9
Grylls,Near bridge,,18/10/2014,11:23,"88732, 67168",,,,,374,0.374,,7.58,,0.06,0.4,,multiple tests carried out to find the average,374,20.2
No Name ,Far Bridge,1,18/10/2014,10:35,"88506, 66936",11.9,19.3,,,382,0.382,,8.19,,0.11,0.90,7.04,Layer of scum on the surface of the water / Fairly clear,500,19
No Name ,Near Bridge,2,18/10/2014,11:33,"88733, 67166",8.9,21.7,,,358,0.358,,7.70,,0.14,0.80,8.98,Strong current / lots of aquatic vegetation / clear / windy and overcast ,379,19.1
No Name ,Near Bridge,8 (bottle looks like 3?),19/10/2014,10:13,"88728, 67179",10.4,16.9,,,384,0.384,,8.00,,0.10,0.9,8.56,,412,18.3
No Name ,Inlet (Hamaya = Ha Mire),"5 (say sample 1,2,3 on bottles)",18/10/2014,14:35,"89850, 66847",14.6,18.1,,,355,0.355,,8.10,,0.04,1.20,8.5,,373,19
No Name , ,"6 (says 1+2 on lid, has white scum)",18/10/2014,15:24,"89562, 66374",15.7,17.9,,,466,0.466,,8.08,,0.04,1.30,8.4,,436,19.3
Grylls,Tarn perimeter location 2 - sample from inlet stream northeast side of tarn,2.1,18/10/2014,2:20:00 PM," 89806, 66957",x,23,x,x,481,0.481,,7.09,,0.09,0.7,10.37 (In Jug),,502,19.9
Grylls,Tarn perimeter location 2 - inlet stream northeast side of tarn,2.2,18/10/2014,2:20:00 PM," 89806, 66957",x,22.5,x,x,494,0.494,,7.2,,0.02,,10.37 (In Jug),,463,21.2
Grylls,Tarn perimeter location 2 - inlet stream northeast side of tarn,2.3,18/10/2014,2:20:00 PM," 89806, 66957",x,22.3,x,x,475,0.475,,7.33,,0.06,0.6,10.37 (In Jug),,429,20
Grylls,Tarn perimeter location 4 - inlet stream coming to east side of tarn,4.1,18/10/2014,2:55:00 PM,"89892, 66757",x,21.8,x,x,421,0.421,,7.5,,0.055,1.00,9.90 (In Jug),,437,19.7
Grylls,Tarn perimeter location 4 - inlet stream coming to east side of tarn,4.2,18/10/2014,2:55:00 PM,"89892, 66757",x,21.5,x,x,419,0.419,,7.53,,0.045,0.80,9.90 (In Jug),,429,19.7
Grylls,Tarn perimeter location 4 - inlet stream coming to east side of tarn,4.3,18/10/2014,2:55:00 PM,"89892, 66757",x,21.4,x,x,419,0.419,,7.54,,0.045,1.2,9.90 (In Jug),,425,19.7
Andy's Group,Near Bridge Automatic Sampler,1,15/10/2014,21:39,"88732, 67168",x,,x,x,399,0.399,x,7.72,x,0.03,0.3,x,GMT rather than BST.,445,19.8
Andy's Group,Near Bridge Automatic Sampler,2,15/10/2014,22:39,"88732, 67168",x,,x,x,395,0.395,x,7.72,x,0.10,,x,GMT rather than BST.,435,19.7
Andy's Group,Near Bridge Automatic Sampler,3,15/10/2014,23:39,"88732, 67168",x,,x,x,400,0.400,x,7.72,x,0.06,,x,GMT rather than BST.,436,19.8
Andy's Group,Near Bridge Automatic Sampler,4,16/10/2014,00:39,"88732, 67168",x,,x,x,377,0.377,x,7.78,x,0.06,,x,GMT rather than BST.,434,19.8
