URN,SPT NAME,DATE,TIME,MAT,LAB NO,PURP,"0061: pH, PHUNITS","0062: Cond @ 20C, uS/cm","0072: Colour Filt, HAZEN","0076: Temp Water, CEL","0077: Cond @ 25C, uS/cm","0081: O Diss% Satn, %","0082: O Dissolved, mg/l","0085: BOD ATU, mg/l","0088: BOD  5 Day-O, mg/l","0092: COD as O2, mg/l","0097: PV N/80 4Hrs, mg/l","0099: C - Organic, mg/l","0111: Ammonia(N), mg/l","0114: N-Kjeldahl, mg/l","0116: N Oxidised, mg/l","0117: Nitrate-N, mg/l","0118: Nitrite-N, mg/l","0119: NH3 un-ion, mg/l","0135: Sld Sus@105C, mg/l","0158: Hardness, mg/l","0162: Alky pH 4_5, mg/l","0172: Chloride Ion, mg/l","0180: Orthophospht, mg/l","0182: SiO2 Rv Filt, mg/l","0183: Sulphate SO4, mg/l","0191: OrthophsFilt, mg/l","0207: Sodium - Na, mg/l","0211: Potassium- K, mg/l","0237: Magnesium-Mg, mg/l","0241: Calcium - Ca, mg/l","0301: C - Org Filt, mg/l","0348: Phosphorus-P, mg/l","0461: DtrgtAncSyn, mg/l","0463: Dtrgt NncSyn, mg/l","0664: Oil & Grs Vs, PRES_/AB","0729: Chlorophyl-A, ug/l","0739: Glycols Poly, mg/l","1128: Oscillatoria, NO/ml","1181: WethPresTemp, UNITLESS","1183: WethPresPrec, UNITLESS","1802: Aphanizomenn, NO/ml","1815: Gomphosphaer, NO/ml","1819: Lyngbya, NO/ml","1825: Phormidium, NO/ml","2613: Coelosphaerm, NO/ml","6396: TurbidityNTU, NTU","6406: Anabaena B, NO/ml","6421: Microcystis, NO/ml","6450: Cu Filtered, ug/l","6455: Zinc - as Zn, ug/l","6516: Liqcolour-st, UNITLESS","6517: Liqcolour-mn, UNITLESS","6518: Liqcolour-se, UNITLESS","6519: Solid colour, UNITLESS","6520: Solid quanty, UNITLESS","6521: SolidTexture, UNITLESS","6522: Odour Nature, UNITLESS","6523: OdourStrengt, UNITLESS","6528: Weth-Visibty, UNITLESS","6529: Weth7Dy-Prec, UNITLESS","6530: Weth7Dy-Temp, UNITLESS","6531: Weth7Dy-Vsy, UNITLESS","6821: LAS, mg/l","6832: N Digested, ug/l","6841: Phenol, PRES_/AB","6842: P Digested, ug/l","7887: CHLOROPHYLL, ug/l","7888: CHLOR A, ug/l","8296: Obs Flow ROC, Coded","9238: Nonyl Phenol, ug/l","9638: Foam Visible, PRES_/AB","9686: Nitrogen - N, mg/l","9856: OrthophsFilt, mg/l","9901: O Diss %sat, %","9924: O Diss Conc, mg/l","9943: N Oxid Filt, mg/l","9993: NH3 filt N, mg/l"
40000385,MALHAM TARN,22-Aug-90,1307,2GZZ,19503,MS,8.4,,,17.4,154,101,9.65,1.5,,,,,<0.05,,<0.2,<0.2,<0.01,0.0038,2,94,51,8.9,<0.03,,,,,,3.398,32,,,,,,,,0,4,1,0,0,0,0,0,,17,0,,,,,,,,,,,2,2,4,4,,,,,,,,,,,,,,,
40000385,MALHAM TARN,19-Sep-90,1027,2GZZ,19504,MS,7.63,,,,139,,,3.4,,,,,<0.05,,<0.2,<0.2,<0.01,,134,101,51,10.7,<0.03,,,,,,1.092,38.6,,,,,,,,3,3,2,1,0,0,0,0,,0,0,,,,,,,,,,,2,2,4,4,,,,,,,,,,,,,,,
40000385,MALHAM TARN,23-Oct-90,1057,2GZZ,26093,MS,7.65,,,7.9,236,112,13.28,1.5,,,,,<0.05,,0.11,<0.2,<0.01,0.0003,2,105,79,10.8,0.04,,,,,,<0.5,41.2,,,,,,,,1,3,1,0,0,0,0,0,,0,0,,,,,,,,,,,2,3,3,4,,,,,,,,,,,,,,,
40000385,MALHAM TARN,20-Nov-90,1117,2GZZ,26094,MS,8.2,,,5.3,260,86,10.94,1.2,,,,,0.13,,0.36,0.12,0.24,0.0026,2,132,111,10.3,<0.03,,,,,,3.823,46.5,,,,,,,,0,2,1,0,0,0,0,0,,0,0,,,,,,,,,,,4,3,2,4,,,,,,,,,,,,,,,
40000385,MALHAM TARN,18-Dec-90,1107,2GZZ,26095,MS,7.67,,,1.4,209,72,10.17,1.6,,,,,2.07,,0.52,,<0.01,0.0088,7,125,113,11,<0.03,,,,,,7.039,38.4,,,,,,,,0,2,12,0,0,0,0,0,,0,0,,,,,,,,,,,4,12,2,4,,,,,,,,,,,,,,,
40000385,MALHAM TARN,21-Jan-91,1107,2GZZ,5817,MS,8.02,,,0.3,274,99,14.37,1.4,,,,,0.05,,<0.2,,<0.01,0.0004,6,127,170,14.1,0.04,,,,,,1.274,48.7,,,,,,,,0,2,1,0,0,0,0,0,,0,0,,,,,,,,,,,1,2,2,4,,,,,,,,,,,,,,,
40000385,MALHAM TARN,01-Mar-91,1330,2GZZ,5818,MS,7.87,,,,285,,,1.4,,,,,0.05,,0.67,,<0.01,,1,119,129,12.1,<0.03,,,,,,6.796,36.4,,,,,,,,0,3,1,0,0,0,0,0,,0,0,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
40000385,MALHAM TARN,26-Mar-91,1050,2GZZ,5819,MS,7.96,,,5,264,106,13.5,1.5,,,,,<0.05,,0.66,,<0.01,0.0006,5,125,125,14,<0.03,,,,,,2.731,45.5,,,,,,,,0,2,1,0,0,0,0,0,,0,0,,,1,0,0,,0,,,,,2,2,,,,,,,,,,,,,,,,
40000385,MALHAM TARN,24-Apr-91,1105,2GZZ,14220,MS,8.4,,,6.9,237,115,14,2.3,,,,,<0.05,,0.31,,<0.01,0.0017,<1,125,95,13,<0.03,,,,,,2.427,46,,,,,,,,0,3,2,0,0,0,0,0,,0,0,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,
40000385,MALHAM TARN,27-Jun-91,1005,2GZZ,14221,MS,8.01,,,12.6,213,96,10.2,>70,,,,,0.05,,<0.2,,<0.01,0.0011,5,104,89,11.2,<0.03,,,,,,1.578,39,,,,,,,,3,3,1,0,0,0,0,0,,0,0,,,1,0,0,,5,,,,,1,3,,,,,,,,,,,,,,,,
40000385,MALHAM TARN,07-Aug-91,1110,2GZZ,24211,MS,8.84,,,18.1,134,75,7.1,1.9,,,,,<0.05,,<0.2,,<0.01,0.0096,4,53,37,9.2,<0.03,,,,,,,,,,,,,,,0,3,1,0,0,0,0,0,,0,0,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,
40000385,MALHAM TARN,16-Aug-91,1220,2GZZ,24212,MS,8.03,,,13.2,183,97,10.2,1.7,,,,,<0.05,,<0.2,,<0.01,0.0012,12,88,67,9.5,<0.03,,,,,,4.976,27,,,,,,,,0,3,1,0,0,0,0,0,,0,0,,,1,0,0,,0,,,,,1,3,,,,,,,,,,,,,,,,
40000385,MALHAM TARN,06-Sep-91,1115,2GZZ,24213,MS,8.65,,,19,136,97,9,0.8,,,,,0.16,,<0.2,,<0.01,0.0224,11,72,57,11.2,<0.03,,,,,,5.34,20,,,,,,,,0,5,1,0,0,0,0,0,,0,0,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,
40000385,MALHAM TARN,18-Oct-91,1110,2GZZ,33128,MS,8.08,,,6.1,223,110,13.6,1.6,,,,,<0.05,,<0.2,,<0.01,0.0008,2,112,106,9,<0.03,,,,,,<0.5,44,,,,,,,,0,2,1,0,0,0,0,0,,0,0,,,1,0,0,,0,,,,,2,3,,,,,,,,,,,,,,,,
40000385,MALHAM TARN,19-Nov-91,1205,2GZZ,33129,MS,7.57,,,4.2,259,66,8.6,8.8,,,,,<0.05,,0.56,,<0.01,0.0002,372,125,119,11.5,<0.03,,,,,,<0.5,50,,,,,,,,4,2,2,0,0,0,0,0,,0,0,,,1,0,0,,0,,,,,2,2,,,,,,,,,,,,,,,,
40000385,MALHAM TARN,07-Jan-92,1045,2GZZ,8070,MS,8.06,,,,239,,,1.5,,,,,0.07,,0.84,,<0.01,,1,122,106,9,<0.03,,,,,,2.306,45,,,,,,,,0,2,2,0,0,0,0,0,,0,0,,,,,,,,,,,,16,2,,,,,,,,,,,,,,,,
40000385,MALHAM TARN,25-Jun-07,0930,2GZZ,367625,MS,8.4,,14,12.5,231,,,,,,,,,,,,,,,,114,8.2,,,<10,,3.9,0.34,0.89,45.6,3.19,0.0427,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,21.2,,,,,0.4,0.0058,94,,<0.2,<0.03
40000385,MALHAM TARN,19-Jul-07,0930,2GZZ,393810,MS,8.1,,20,15.9,257,,,,,,,,,,,,,,,,128,6.2,,,<10,,3.4,0.3,0.7,49.3,3.64,0.0075,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.5,,,,,0.5,0.0018,102,,<0.2,0.039
40000385,MALHAM TARN,15-Aug-07,0950,2GZZ,421000,MS,8.3,,14,,244,,,,,,,,,,,,,,,,121,5.9,,,<10,,3.9,0.3,0.83,45,3.66,0.0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,0.42,0.0025,,,<0.2,0.033
