point,depth,substrate,plantheight,plantcover,species,algae,gunk,date,notes,sdval
1,111,"stony,boulder,gravel",0,0,,3,0,20.07.2019,,
2,19,"stony,gravel",0,0,,3,0,20.07.2019,bullhead,
3,125,"stony,silt",0,0,,3,0,20.07.2019,shit curls from canada geese,
4,154,"stony,boulder,silt",0,0,,3,0,20.07.2019,shit curls from canada geese,
5,203,silt,5,4,Ecan,NA,0,20.07.2019,,
5,203,silt,5,1,Chara1,NA,0,20.07.2019,,
6,205,silt,10,20,Chara2,NA,0,20.07.2019,,
7,35,"stony,boulder",0,0,,3,0,20.07.2019,,
8,82,"stony,boulder,gravel",0,0,,3,0,20.07.2019,,
9,180,"stony,boulder,silt",2,1,Ecan,NA,0,20.07.2019,,
10,219,silt,15,15,Ecan,NA,0,20.07.2019,"not very marly, not looking very healthy",
10,219,silt,15,5,Chara2,NA,0,20.07.2019,,
11,238,silt,0,0,,NA,0,20.07.2019,,
12,239,silt,0.01,1,filalg,NA,0,20.07.2019,,
13,235,silt,0.01,1,filalg,NA,0,20.07.2019,,
14,123,"stony,boulder",0,0,,1,0,20.07.2019,,
15,NA,NA,NA,NA,NA,NA,NA,NA,replaced by new point,
16,120,"stony,gravel,silt",0,0,,3,0,20.07.2019,,
17,135,"stony,boulder",0,0,,3,0,20.07.2019,,
18,108,"stony,gravel",1,5,moss,NA,0,20.07.2019,,
18,108,"stony,gravel",1,5,filalg,NA,0,20.07.2019,,
19,136,"stony,boulder,gravel",0,0,,2,0,20.07.2019,,
20,130,"stony,boulder",0,0,,3,0,20.07.2019,,
21,157,"stony,boulder",0,0,,2,0,21.07.2019,,
22,253,silt,15,50,Ecan,NA,0,21.07.2019,,
23,261,silt,15,29,Ecan,NA,0,21.07.2019,,
23,261,silt,15,1,nflex,NA,0,21.07.2019,,
24,269,silt,15,25,Ecan,NA,0,21.07.2019,,
25,275,silt,,1,filalg,NA,0,20.07.2019,,
26,280,silt,0,0,,NA,0,21.07.2019,,
27,271,silt,0,0,,NA,0,19.07.2019,,
28,20,"stony,boulder",0,0,,3,0,20.07.2019,so shit can’t see substrate,
29,137,"stony,silt",0,0,,3,0,20.07.2019,everything full of dead pea mussels,
30,172,"silt,gravel",5,40,Ecan,NA,0,20.07.2019,laying on the bottom,
31,194,silt,0,0,,NA,0,20.07.2019,,
32,207,silt,0,0,,NA,0,21.07.2019,dead fontinalist,
33,166,"stony,silt",0,0,,2,0,21.07.2019,,
34,166,"stony,boulder",0,0,,2,0,21.07.2019,palmella present,
35,244,silt,30,75,Ecan,NA,0,21.07.2019,,
36,258,silt,30,25,Ecan,NA,0,21.07.2019,not healthy looking,
36,258,silt,30,13,cglob,NA,0,21.07.2019,not healthy looking,
36,258,silt,30,2,Uvul,NA,0,21.07.2019,,
37,266,silt,10,5,Ecan,NA,0,21.07.2019,,
38,310,silt,1,0.5,filalg,NA,0,21.07.2019,,
39,330,silt,15,10,Ecan,NA,0,21.07.2019,,
40,339,silt,0,0,,NA,0,20.07.2019,,
41,315,silt,0,0,,NA,0,20.07.2019,,
42,312,silt,0,0,,NA,0,19.07.2019,,
43,316,silt,0,0,,NA,0,19.07.2019,,
44,91,"stony,boulder,gravel",0,0,,2,0,19.07.2019,,
45,28,"stony,gravel,silt",0,0,,3,0,20.07.2019,bullhead,
46,76,"stony,silt",0,0,,3,0,20.07.2019,,
47,162,silt,0,0,,NA,0,20.07.2019,,
48,185,silt,15,29,Ecan,NA,0,20.07.2019,,
48,185,silt,15,10,Uvul,NA,0,20.07.2019,,
48,185,silt,0,1,cladophoraball,NA,0,20.07.2019,dead/sickly,
49,189,silt,30,100,nflex,NA,0,20.07.2019,,
50,190,"stony,silt",0,0,,2,0,20.07.2019,,
51,226,silt,0,0,,NA,0,21.07.2019,,
52,241,silt,10,4,Ecan,NA,0,21.07.2019,,
52,241,silt,2,1,chara4,NA,0,21.07.2019,"uncertain, potted",
53,254,silt,20,10,Ecan,NA,0,21.07.2019,,
53,254,silt,80,60,potcrisp,NA,0,21.07.2019,,
53,254,silt,5,10,chara4,NA,0,21.07.2019,"uncertain, potted",
54,264,silt,35,95,cglob,NA,0,21.07.2019,,
54,264,silt,35,5,Uvul,NA,0,21.07.2019,,
55,273,silt,45,50,Ecan,NA,0,21.07.2019,,
55,273,silt,45,10,Uvul,NA,0,21.07.2019,,
55,273,silt,45,40,cglob,NA,0,21.07.2019,,
56,312,silt,0,0,,NA,0,21.07.2019,palmella present,
57,329,silt,0,0,,NA,0,21.07.2019,,
58,351,silt,0,0,,NA,0,21.07.2019,,
59,337,silt,0,0,,NA,0,20.07.2019,,
60,315,silt,1,0.5,filalg,NA,0,21.07.2019,,
60,315,silt,1,0.5,Chara1,NA,0,21.07.2019,,
61,324,silt,0,0,,NA,0,19.07.2019,,
62,334,silt,0,0,,NA,0,19.07.2019,,
63,301,silt,0,0,,1,0,19.07.2019,,
64,102,"stony,boulder",5,10,Caspera,3,0,20.07.2019,,
65,177,silt,10,20,Uvul,NA,0,20.07.2019,,
65,177,silt,10,20,Ecan,NA,0,20.07.2019,,
65,177,silt,10,10,nflex,NA,0,20.07.2019,,
66,200,silt,30,100,nflex,NA,0,20.07.2019,,
67,222,silt,30,100,nflex,NA,0,20.07.2019,,
68,228,silt,20,20,Ecan,NA,0,21.07.2019,,
68,228,silt,20,20,cglob,NA,0,21.07.2019,,
69,138,silt,20,15,Ecan,NA,0,21.07.2019,,
70,244,silt,25,25,Ecan,NA,0,21.07.2019,,
71,253,silt,0,0,,NA,0,21.07.2019,,
72,264,silt,30,10,Uvul,NA,0,21.07.2019,,
72,264,silt,30,15,Ecan,NA,0,21.07.2019,,
72,264,silt,30,1,filalg,NA,0,21.07.2019,,
72,264,silt,30,14,cglob,NA,0,21.07.2019,,
73,311,silt,25,78,Ecan,NA,0,21.07.2019,,
73,311,silt,25,2,chara2,NA,0,21.07.2019,,
74,338,silt,10,8,Ecan,NA,0,21.07.2019,,
74,338,silt,10,2,Uvul,NA,0,21.07.2019,,
75,362,silt,0,0,,NA,0,21.07.2019,,
76,360,silt,1,0.5,Chara1,NA,0,21.07.2019,,
77,339,silt,0,0,,NA,0,21.07.2019,,
78,325,silt,1,0.25,filalg,NA,0,21.07.2019,,
79,333,silt,2,1,Chara1,NA,0,19.07.2019,,
80,341,silt,5,1,Chara1,NA,0,19.07.2019,,
81,327,silt,0,0,,NA,0,19.07.2019,,
82,108,"stony,boulder,gravel",0,0,,2,0,19.07.2019,,
83,178,"silt,peat",0,0,,NA,0,20.07.2019,lots of dead lymnaea,
84,206,silt,25,20,Ecan,NA,0,20.07.2019,,
84,206,silt,25,20,Uvul,NA,0,20.07.2019,,
85,229,silt,25,25,Ecan,NA,0,20.07.2019,palmella present,
86,232,silt,0,0,,NA,0,21.07.2019,,
87,240,silt,0,0,,NA,0,21.07.2019,,
88,241,silt,0,0,,NA,0,21.07.2019,,
89,249,silt,0,0,,NA,0,21.07.2019,,
90,260,silt,0,0,,NA,0,21.07.2019,,
91,295,silt,0,0,,NA,0,21.07.2019,,
92,329,silt,0,0,,NA,0,21.07.2019,,
93,349,silt,0,0,,NA,0,21.07.2019,,
94,358,silt,0,0,,NA,0,21.07.2019,,
95,365,silt,2,0.5,filalg,NA,0,21.07.2019,,
96,340,silt,2,0.5,filalg,NA,0,21.07.2019,,
97,340,silt,2,1,Chara1,NA,0,19.07.2019,,
98,348,silt,0,0,,NA,0,19.07.2019,,
99,330,silt,0,0,,NA,0,19.07.2019,,
100,109,stony,0,0,,1,0,19.07.2019,,
101,193,"silt,peat",0,0,,NA,0,20.07.2019,lots of dead lymnaea,
102,215,silt,30,100,nflex,NA,0,20.07.2019,,
103,227,silt,15,40,Ecan,NA,0,21.07.2019,not healthy looking,
